job_id,career,company,location,salary_range
1,Data Scientist,Google,Bangalore,₹12–18 LPA
2,UX Designer,Zoho Corp,Chennai,₹8–14 LPA
3,Software Engineer,Microsoft,Hyderabad,₹10–16 LPA
4,AI Engineer,Amazon,Bangalore,₹15–22 LPA
5,Product Manager,Flipkart,Bangalore,₹18–28 LPA
6,Cloud Architect,Infosys,Pune,₹14–20 LPA
7,Cybersecurity Analyst,Wipro,Hyderabad,₹9–15 LPA
8,Mechanical Engineer,L&T,Chennai,₹6–10 LPA
9,Civil Engineer,Tata Projects,Mumbai,₹5–9 LPA
10,Electrical Engineer,Siemens,Gurgaon,₹7–12 LPA
11,Robotics Engineer,Boston Dynamics,Bangalore,₹14–22 LPA
12,Marketing Manager,Hindustan Unilever,Mumbai,₹12–18 LPA
13,Financial Analyst,Deloitte,Gurgaon,₹8–14 LPA
14,Doctor,Apollo Hospitals,Chennai,₹15–25 LPA
15,Dentist,Clove Dental,Delhi,₹6–12 LPA
16,Lawyer,Amarchand & Mangaldas,Mumbai,₹10–20 LPA
17,Teacher,Delhi Public School,Delhi,₹3–6 LPA
18,Professor,IIT Bombay,Mumbai,₹12–22 LPA
19,Psychologist,Fortis Healthcare,Bangalore,₹7–12 LPA
20,Journalist,Times of India,Delhi,₹5–9 LPA
21,Graphic Designer,Byju's,Bangalore,₹6–11 LPA
22,Interior Designer,Livspace,Bangalore,₹7–12 LPA
23,Architect,Shapoorji Pallonji,Mumbai,₹10–18 LPA
24,Animator,Technicolor,Hyderabad,₹6–10 LPA
25,Game Developer,Ubisoft,Pune,₹9–15 LPA
26,Data Analyst,TCS,Chennai,₹5–9 LPA
27,Chartered Accountant,KPMG,Gurgaon,₹10–18 LPA
28,Banker,HDFC Bank,Mumbai,₹6–12 LPA
29,Pharmacist,Sun Pharma,Ahmedabad,₹4–8 LPA
30,Nurse,Fortis Hospital,Delhi,₹3–6 LPA
31,Biotechnologist,Biocon,Bangalore,₹7–12 LPA
32,Chemical Engineer,ONGC,Mumbai,₹8–14 LPA
33,Petroleum Engineer,Reliance Industries,JamNagar,₹10–18 LPA
34,Environmental Scientist,NEERI,Nagpur,₹6–11 LPA
35,Aerospace Engineer,HAL,Bangalore,₹9–16 LPA
36,Pilot,IndiGo Airlines,Delhi,₹20–40 LPA
37,Air Traffic Controller,Air Authority of India,Delhi,₹12–18 LPA
38,Event Manager,Wizcraft,Mumbai,₹6–12 LPA
39,Hotel Manager,Taj Hotels,Goa,₹8–14 LPA
40,Chef,ITC Hotels,Kolkata,₹5–10 LPA
41,Fashion Designer,Raymond,Mumbai,₹7–15 LPA
42,Actor,Bollywood,Delhi,₹12–30 LPA
